X,Y,Z,Region
1.65347,7.133542,156.3237695022028,measure
1.700712,7.133542,157.04214980711623,measure
1.747954,7.133542,156.79454833997065,measure
1.795196,7.133542,155.91229511219058,measure
1.842438,7.133542,154.78186822229065,measure
1.88968,7.133542,154.95586814898405,measure
1.936922,7.133542,155.01609793278413,measure
1.984164,7.133542,156.1395342716142,measure
2.031406,7.133542,155.7303069157928,measure
2.078648,7.133542,155.4134456092982,measure
2.12589,7.133542,157.01191280005506,measure
2.173132,7.133542,155.60740363793,measure
2.220374,7.133542,155.93562190719217,measure
2.267616,7.133542,154.70292774359274,measure
2.314858,7.133542,156.17406516751768,measure
2.3621,7.133542,155.42196297804185,measure
2.409342,7.133542,156.1033921998669,measure
2.456584,7.133542,154.7788572489151,measure
2.503826,7.133542,154.7500787148459,measure
2.551068,7.133542,154.30737904475686,measure
2.59831,7.133542,155.73049344003917,measure
2.645552,7.133542,156.098696297281,measure
2.692794,7.133542,156.4231508578622,measure
2.740036,7.133542,154.9148504686959,measure
2.787278,7.133542,154.38644234836337,measure
2.83452,7.133542,154.99722048622988,measure
2.881762,7.133542,155.347512567988,measure
2.929004,7.133542,155.50380315459978,measure
2.976246,7.133542,156.38699813142205,measure
3.023488,7.133542,155.817127880759,measure
3.0707299999999997,7.133542,154.6430013164155,measure
3.117972,7.133542,155.73553666603684,measure
3.1652139999999997,7.133542,154.1141106991833,measure
3.212456,7.133542,154.20520712614484,measure
3.2596979999999998,7.133542,155.2674018477544,measure
3.30694,7.133542,155.41247022459888,measure
3.3541819999999998,7.133542,154.1181136336254,measure
3.401424,7.133542,156.87715849399694,measure
3.448666,7.133542,155.56860414707793,measure
3.495908,7.133542,155.74871709260722,measure
3.54315,7.133542,154.69388527935706,measure
3.590392,7.133542,154.5900056031741,measure
3.637634,7.133542,154.87980019511073,measure
3.684876,7.133542,156.3508016857385,measure
3.732118,7.133542,153.82896700912218,measure
3.77936,7.133542,156.67127917455056,measure
3.826602,7.133542,156.40031922921187,measure
3.873844,7.133542,155.63202071642328,measure
3.921086,7.133542,156.97759812005884,measure
3.968328,7.133542,154.95229704892373,measure
4.01557,7.133542,153.4591029619105,measure
4.062812,7.133542,154.96900783997464,measure
4.110054,7.133542,156.3607611306856,measure
4.157296,7.133542,156.01433520807905,measure
4.204538,7.133542,156.2987107712981,measure
4.25178,7.133542,155.69527377425027,measure
4.299022,7.133542,156.6376755822325,measure
4.346264,7.133542,154.6141070865832,measure
4.393506,7.133542,156.12019388724363,measure
4.440748,7.133542,155.5519277147502,measure
4.48799,7.133542,155.67544661848274,measure
4.535232,7.133542,155.48800012709054,measure
4.5824739999999995,7.133542,155.10321150624964,measure
4.629716,7.133542,154.75796108372623,measure
4.676958,7.133542,155.59781480881793,measure
4.7242,7.133542,155.87997141515785,measure
4.7714419999999995,7.133542,154.3662064916281,measure
4.818684,7.133542,155.43958765211605,measure
4.865926,7.133542,155.53274054082937,measure
4.913168,7.133542,155.24998492052848,measure
4.9604099999999995,7.133542,154.63628095532383,measure
5.007652,7.133542,155.6989949151038,measure
5.054894,7.133542,155.77242329798923,measure
5.102136,7.133542,156.89832608337878,measure
5.149378,7.133542,154.60062825849855,measure
5.19662,7.133542,154.3927935805565,measure
5.243862,7.133542,156.77690976739237,measure
5.291104,7.133542,154.2114172266182,measure
5.338346,7.133542,155.93976547579777,measure
5.385588,7.133542,155.6337293921511,measure
5.43283,7.133542,156.14837172577134,measure
5.480072,7.133542,155.27245214427592,measure
5.527314,7.133542,154.8153109885757,measure
5.574556,7.133542,154.78181606122746,measure
5.621798,7.133542,156.07340587008974,measure
5.66904,7.133542,156.33160139496982,measure
5.716282,7.133542,155.35306845998448,measure
5.763524,7.133542,154.13450409682002,measure
5.810766,7.133542,153.9760289285993,measure
5.858008,7.133542,153.8678045231712,measure
5.90525,7.133542,154.33331286736134,measure
5.952492,7.133542,156.33931481024382,measure
5.999734,7.133542,154.48379229186088,measure
6.046976,7.133542,154.4231985367185,measure
6.094218,7.133542,153.07343383169462,measure
6.1414599999999995,7.133542,154.8215675862217,measure
6.188702,7.133542,156.3156098378179,measure
6.235944,7.133542,154.77868521367355,measure
6.283186,7.133542,155.45809466171133,measure
6.3304279999999995,7.133542,154.887560920904,measure
6.37767,7.133542,155.09591049874965,measure
6.424912,7.133542,154.1639379001603,measure
6.472154,7.133542,153.46561682376532,measure
6.5193959999999995,7.133542,156.11901930363834,measure
6.566638,7.133542,154.4958094146674,measure
6.61388,7.133542,156.1575495550741,measure
6.661122,7.133542,153.94856004236587,measure
6.7083639999999995,7.133542,155.53648352339178,measure
6.755606,7.133542,153.26584033849767,measure
6.802848,7.133542,155.59935527649023,measure
6.85009,7.133542,153.99268609313378,measure
6.897332,7.133542,155.57105100551033,measure
6.944574,7.133542,154.71408145885098,measure
6.991816,7.133542,154.3804953634263,measure
7.039058,7.133542,155.49854527168497,measure
